ID,category,name,price,link,brand,warranty,type,Kích thước quạt (mm),socket_support,led,color,radiator_size,Số vòng quay của bơm (RPM),Số vòng quay của quạt (RPM),Lưu lượng không khí (CFM),noise_dba,weight_kg,Chiều cao (cm),material,tier,warranty_period,sku,status,features,availability,highlights
cooler_150,Cooler,Tản nước CPU AIO Cooler Master ML360 ILLUSION ARGB Gen2 (LGA 1700),3159000,https://phongvu.vn/tan-nuoc-cpu-aio-cooler-master-ml360-illusion-argb-gen2-lga-1700--s220102322,Cooler Master,24 tháng,Tản nước,3 x 120 mm,"Intel LGA 2066, Intel LGA 2011-3, Intel LGA 2011, Intel LGA 1700, Intel LGA 1200, Intel LGA 1151-v2, Intel LGA 1150, AMD AM4, AMD AM3+, AMD AM3",RGB,Đen,394 X 119.6 X 27.2 MM,,650-1800 RPM (PWM) ± 10%,,6 - 30 DBA,,,Nhôm,,,,,,,
cooler_151,Cooler,Tản nước CPU AIO Cooler Master ML240 ILLUSION ARGB Gen2 (LGA 1700),2649000,https://phongvu.vn/tan-nuoc-cpu-aio-cooler-master-ml240-illusion-argb-gen2-lga-1700--s220102321,Cooler Master,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2011, Intel LGA 2011-3, AMD AM4, AMD AM3, AMD AM3+, AMD AM2",RGB,Đen,277 X 119.6 X 27.2 MM,,650-1800 RPM ± 10%,,6 - 30 DBA,,,Nhôm,,,,,,,
cooler_152,Cooler,Quạt/ Fan case Deepcool RF120 3 IN 1 RGB,950000,https://phongvu.vn/quat-fan-case-deepcool-rf120-3-in-1-rgb--s220101423,DeepCool,12 tháng,Quạt,1 x 120 mm,,RGB,"Đen, Trắng",,,500±200 -1500±10%RPM,56.5CFM,17.8~27dB(A),0.505 kg,,Nhựa,,,,,,,
cooler_153,Cooler,Tản nhiệt nước CPU AIO Deepcool CASTLE 360EX A-RGB WH,3990000,https://phongvu.vn/tan-nhiet-nuoc-cpu-aio-deepcool-castle-360ex-a-rgb-wh--s220101422,DeepCool,36 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4, AMD AM4, AMD AM3",RGB,Trắng,402×120×27 mm,2550 vòng / phút ± 10%,500 ~ 1800 RPM ± 10%,"69,34 CFM",≤30 dB (A),1.665 kg,,Nhôm,,,,,,,
cooler_154,Cooler,Tản nhiệt nước CPU AIO Deepcool CASTLE 240EX A-RGB,1990000,https://phongvu.vn/tan-nhiet-nuoc-cpu-aio-deepcool-castle-240ex-a-rgb--s220101421,DeepCool,36 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4, AMD AM4, AMD AM3",RGB,Đen,282 x 120 x 27 mm,2550 RPM ± 10%,500 ~ 1800 RPM ± 10%,"69,34 CFM",≤30 dB (A),1.38 kg,,Nhôm,,,,,,,
cooler_155,Cooler,Tản nhiệt nước CPU AIO Deepcool CASTLE 240EX A-RGB WH,1990000,https://phongvu.vn/tan-nhiet-nuoc-cpu-aio-deepcool-castle-240ex-a-rgb-wh--s220101420,DeepCool,36 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4, AMD AM4, AMD AM3",RGB,Trắng,282 x 120 x 27 mm,2550 RPM ± 10%,500 ~ 1800 RPM ± 10%,"69,34 CFM",≤30 dB (A),1.38 kg,,Nhôm,,,,,,,
cooler_156,Cooler,Tản nhiệt nước CPU AIO Deepcool Gammaxx L240 A-RGB,1799000,https://phongvu.vn/tan-nhiet-nuoc-cpu-aio-deepcool-gammaxx-l240-a-rgb--s220101419,DeepCool,36 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 1700, Intel LGA 1200, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, AMD AM4",RGB,Đen,282×120×27 mm,2400 vòng / phút ± 10%,500 ~ 1800 RPM ± 10%,"69,34 CFM",≤30 dB (A),1.33 kg,,Nhôm,,,,,,,
cooler_157,Cooler,Quạt CPU Deepcool NEPTWIN RGB V3,1090000,https://phongvu.vn/quat-cpu-deepcool-neptwin-rgb-v3--s220101417,DeepCool,12 tháng,Quạt,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 2011-3, Intel LGA 1200, Intel LGA 2066, Intel LGA 2011, Intel LGA 1700, Intel LGA 1366, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155",RGB,Đen,,,500~1500 RPM±10%,56.5 CFM,≤27 dB(A),1068 g,,,,,,,,,
cooler_158,Cooler,Tản nhiệt nước AIO ASUS TUF LC 240 ARGB (Đen),1890000,https://phongvu.vn/tan-nhiet-nuoc-aio-asus-tuf-lc-240-argb-den--s211208728,Asus,36 tháng,Tản nước,2 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM4",RGB,Đen,,,800 - 2000 RPM +/- 10%,"67 CFM / 113,8 m3h",29 dB (A),,,Nhôm,,,,,,,
cooler_159,Cooler,Quạt CPU Cooler Master HYPER 212 ARGB TURBO,989000,https://phongvu.vn/quat-cpu-cooler-master-hyper-212-argb-turbo--s211106230,Cooler Master,12 tháng,Tản khí,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 775, Intel LGA 1366, Intel LGA 2011-3, AMD AM4",RGB,Đen,,,650-1800 RPM,61 CFM (Max),8 - 27 dBA,,,"Nhôm, Đồng",,,,,,,
cooler_160,Cooler,Tản nhiệt nước/ AIO Corsair H55 RGB (CW-9060052-WW),1890000,https://phongvu.vn/tan-nhiet-nuoc-aio-corsair-h55-rgb-cw-9060052-ww--s211105354,Corsair,24 tháng,Tản nước AIO,1 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1152, Intel LGA 1200",RGB,Đen,120mm,,,,,0.68 kg,,"Nhôm, Đồng",,,,,,,
cooler_161,Cooler,Tản nhiệt nước/AIO Corsair H150 RGB (CW-9060054-WW),3190000,https://phongvu.vn/tan-nhiet-nuoc-aio-corsair-h150-rgb-cw-9060054-ww--s211105352,Corsair,36 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1152, Intel LGA 1200",RGB,Đen,360mm,,,,,1.05 kg,,"Nhôm, Đồng",,,,,,,
cooler_162,Cooler,Quạt/ Fan case Xigmatek STARZ X20A Arctic (White ARGB x3),490000,https://phongvu.vn/quat-fan-case-xigmatek-starz-x20a-arctic-white-argb-x3--s211011691,Xigmatek,12 tháng,Quạt,3 x 120 mm,,RGB,Trắng,,,900 RPM,40.60 CFM,<18.71 dBA,,,Nhựa,,,,,,,
cooler_163,Cooler,Bộ Tản Nhiệt Nước ID-COOLING Zoomflow 360-XT ARGB,1690000,https://phongvu.vn/bo-tan-nhiet-nuoc-id-cooling-zoomflow-360-xt-argb--s210602934,ID-Cooling,24 tháng,Tản nước,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1200, Intel LGA 1700",RGB,Đen,397×120×27mm,2100 ± 10% RPM,500 ～ 15 00 ± 10% RPM,"68,2CFM","13,8 ～ 30,5 dB (A)",2.310 kg,,Nhôm,,,,,,,
cooler_164,Cooler,Bộ Tản Nhiệt Nước ID-COOLING Zoomflow 240-XT ARGB,1590000,https://phongvu.vn/bo-tan-nhiet-nuoc-id-cooling-zoomflow-240-xt-argb--s210602933,ID-Cooling,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1200, Intel LGA 1700",RGB,Đen,274 × 120 × 27 mm,2100±10%RPM,500～1500±10%RPM,68.2CFM,25dB(A),,,Nhôm,,,,,,,
cooler_165,Cooler,Tản nhiệt nước AIO GIGABYTE AORUS WATERFORCE X 360,7190000,https://phongvu.vn/tan-nhiet-nuoc-aio-gigabyte-aorus-waterforce-x-360--s210600385,Gigabyte,24 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, AMD TR4, AMD AM4, AMD sTRX4, Intel LGA 1200, Intel LGA 1700, Intel LGA 1151, Intel LGA 1150",RGB,Đen,394 x 119 x 27mm,800~2300 RPM +/-10%,,16.92~60.07 CFM,7.9~37.6 dBA,2.2 kg,,Nhôm,,,,,,,
cooler_166,Cooler,Tản nhiệt nước AIO GIGABYTE AORUS WATERFORCE X 240,5990000,https://phongvu.vn/tan-nhiet-nuoc-aio-gigabyte-aorus-waterforce-x-240--s210600384,Gigabyte,24 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 1200, Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM4, AMD TR4",RGB,Đen,277 x 119 x 27mm,800~2500 RPM +/-10%,,16.92~60.07 CFM,7.9~37.6 dBA,1.7 kg,,Nhôm,,,,,,,
cooler_167,Cooler,Tản nước AIO Cooler Master ML360L V2 ARGB White (LGA 1700),2950000,https://phongvu.vn/tan-nuoc-aio-cooler-master-ml360l-v2-argb-white--s210404616,Cooler Master,24 tháng,Tản nước,3 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 2066, Intel LGA 2011-3, Intel LGA 2011, Intel LGA 1150, Intel LGA 1151-v2, Intel LGA 1155, Intel LGA 1156, AMD AM4",RGB,Trắng,360mm,,650-1800 RPM ± 5%,62 CFM,8 - 27 DBA,,,Nhôm,,,,,,,
cooler_168,Cooler,Tản nước AIO Cooler Master ML240L V2 ARGB White (LGA 1700),1690000,https://phongvu.vn/tan-nuoc-aio-cooler-master-ml240l-v2-argb-white--s210404615,Cooler Master,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 2066, Intel LGA 1156, Intel LGA 1155, Intel LGA 1150, Intel LGA 1151-v2, Intel LGA 2011, Intel LGA 2011-3, AMD AM4",RGB,Trắng,240 mm,,650-1800 RPM ± 5%,62 CFM,8 - 27 DBA,,,Nhôm,,,,,,,
cooler_169,Cooler,Quạt CPU CM Hyper 212 ARGB,699000,https://phongvu.vn/quat-cpu-cm-hyper-212-argb--s210404613,Cooler Master,12 tháng,Quạt,1 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM4",RGB,Bạc,,,650-1800 RPM (PWM) ± 5%,62 CFM,8 - 27 DBA,,,"Nhôm, Đồng",,,,,,,
cooler_170,Cooler,Quạt CPU Deepcool Gammaxx 400 XT (DP-MCH4-GMX400-XT),730000,https://phongvu.vn/quat-cpu-deepcool-gammaxx-400-xt-dp-mch4-gmx400-xt--s210400735,DeepCool,12 tháng,Tản khí,1 x 120 mm,"Intel LGA 1200, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, AMD AM4",,Đen,,,500 ~ 1500 vòng / phút ± 10%,"56,5 CFM",≤27 ​​dB (A),723 g,,,,,,,,,
cooler_171,Cooler,Tản nhiệt khí CM MasterAir MA624 Stealth (MAM-D6PS-314PK-R1) (LGA 1700),2990000,https://phongvu.vn/tan-nhiet-khi-cm-masterair-ma624-stealth-mam-d6ps-314pk-r1--s210300184,Cooler Master,24 tháng,Tản khí,2 x 140mm/1 x 120mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD AM4, AMD AM3",,Đen,,,- 140 mm Fan - 650-1400 RPM ± 5% - -120 mm Fan - 650-1800 RPM ± 5%,- 140 mm Fan - 67 CFM (Max) - - 120 mm Fan - 62 CFM (Max),- 140 mm Fan - 10 ~ 27 dBA - - 120 mm Fan - 8 ~ 27 dBA,,16,"Nhôm, Đồng",,,,,,,
cooler_172,Cooler,Tản nhiệt khí CM MasterAir MA612 Stealth ARGB (MAP-T6PS-218PA-R1),2079000,https://phongvu.vn/tan-nhiet-khi-cm-masterair-ma612-stealth-argb-map-t6ps-218pa-r1--s210300183,Cooler Master,24 tháng,Tản khí,2 x 120 mm,"Intel LGA 2066, Intel LGA 2011-3, Intel LGA 2011, Intel LGA 1200, Intel LGA 1366, Intel LGA 1156, Intel LGA 1155, Intel LGA 1151, Intel LGA 1150, AMD AM4",RGB,Đen,,,650-1800 vòng / phút (PWM) ± 5%,62 CFM (Tối đa),8 - 27 dBA,,15.8,Nhôm,,,,,,,
cooler_173,Cooler,Tản nhiệt khí CM MasterAir MA612 Stealth (MAP-T6PS-218PK-R1) (LGA 1700),1789000,https://phongvu.vn/tan-nhiet-khi-cm-masterair-ma612-stealth-map-t6ps-218pk-r1--s210300182,Cooler Master,24 tháng,Tản khí,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD AM4, AMD AM3",,Đen,,,650-1800 vòng / phút ± 5%,62 CFM (Tối đa),8 - 27 dBA,,15.8,Nhôm,,,,,,,
cooler_174,Cooler,Quạt case Cooler Master SickleFlow 120RGB 3IN1 + Controller,999000,https://phongvu.vn/quat-case-cooler-master-sickleflow-120rgb-3in1-controller--s210102394,Cooler Master,12 tháng,Quạt,3 x 120 mm,,RGB,Đen,,,650-1800 RPM ± 10%,62 CFM ± 10%,8 - 27 dBA,156,,,,,,,,,
