ID,category,name,price,link,brand,warranty,series,use_case,chipset,socket,Kích thước,max_ram_slots,supported_ddr,Hỗ trợ bộ nhớ tối đa,ram_speed,Lưu trữ,m2_slots,Cổng xuất hình,pci_slots,Số cổng USB,lan,Kết nối không dây,audio,led,multi_gpu,mb_tier
mainboard_026,Mainboard,Mainboard MSI B760M GAMING PLUS WIFI DDR5,3790000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-b760m-gaming-plus-wifi-911-7d98-012--s240300647,Msi,36 tháng,Gaming,Gaming,B760,LGA1700,Micro-ATX,4 khe,DDR5,256GB,"6800(OC), 6600(OC), 6400(OC), 6200(OC), 6000(OC), 5800(OC), 5600(JEDEC), 5400(JEDEC), 5200(JEDEC), 5000(JEDEC)","4 x SATA 3 6Gb/s, 1 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"2 x HDMI, 2 x DisplayPort",2x PCI-E x16 - 1x PCI-E x1,USB Type C - 2 x USB 2.0 (Tối đa 6) - 4 x USB 3.2 (Tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",#NAME?,,,mid
mainboard_027,Mainboard,Mainboard Asus PRIME H610M-K D4-CSM,1890000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-h610m-k-d4-csm-90mb1a10-m0uayc--s240100848,Asus,36 tháng,Prime,Gaming,H610,LGA1700,Micro-ATX,2 khe,DDR4,64GB,"3200MHz, 3000MHz, 2933MHz, 2800MHz, 2666MHz, 2400MHz, 2133MHz","4 x SATA 3 6Gb/s, 1 x M.2 NVMe",M.2 NVMe,"1 x VGA/D-sub, 1 x HDMI",1 x PCIe 4.0 x16; 1 x PCIe 3.0 x1,2 x USB 3.2 (Tối đa 4) - 4 x USB 2.0(Tối đa 6),1 x LAN 1 Gb/s,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,,budget
mainboard_028,Mainboard,Mainboard ASUS PRIME B760M-A D4-CSM (DDR4),2790000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-b760m-a-d4-csm-90mb1d00-m0uayc--s230900017,Asus,36 tháng,Prime,"Gaming, Văn phòng",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"2800MHz, 2400MHz, 2666MHz, 3000MHz, 3200MHz, 2933MHz, 2133MHz, 5333(OC), 5066(OC), 5000(OC)","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"2 x HDMI, 1 x DisplayPort",3 x PCIe 4.0 x16,2 x USB 3.2 (tối đa 6) - 4 x USB 2.0 (tối đa 9) - USB Type-C,1 x LAN 2.5Gb/s,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,,mid
mainboard_029,Mainboard,Mainboard Gigabyte B760M D DDR4,2700000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b760m-d-ddr4--s230803461,Gigabyte,36 tháng,,Gaming,B760,LGA1700,Micro-ATX,2 khe,DDR4,64GB,"3200MHz, 3000MHz, 2933MHz, 2666MHz, 2133MHz, 2400MHz","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x VGA/D-sub",1 x PCI Express x16; 1 x PCI Express x1,2 x USB 2.0 (tối đa 6) - 4 x USB 3.2 (tối đa 6),1 x LAN 1 Gb/s,,Realtek Audio CODEC,,,mid
mainboard_030,Mainboard,Mainboard ASUS PRIME A620M-A DDR5 (90MB1F10-M0UAY0),3290000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-a620m-a-90mb1f10-m0uay0--s230802063,Asus,36 tháng,Prime,Gaming Văn Phòng,A620,AM5,Micro-ATX,4 khe,DDR5,128GB,"4800MHz, 5000MHz, 5200MHz, 6400(OC), 6200(OC), 6000(OC), 5800(OC), 5600(O.C.), 5400(O.C.)","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort, 1 x VGA/D-sub",1 x PCIe 4.0 x16 ; 2 x PCIe 3.0 x1,4 x USB 2.0(tối đa 8) - 2 x USB 3.2 (tối đa 4) - USB Type C,1 x LAN 1 Gb/s,,Âm thanh vòm Realtek 7.1 CODEC âm thanh độ nét cao,,,mid
mainboard_031,Mainboard,Mainboard Asus PRIME H510M-K R2.0,1790000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-h510m-k-r2-0-90mb1e80-m0uay0--s230502470,Asus,36 tháng,Prime,"Gaming, Văn phòng",H470,LGA1200,Micro-ATX,2 khe,DDR4,64GB,"2800MHz, 2400MHz, 2666MHz, 3000MHz, 3200MHz, 2933MHz, 2133MHz","4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x VGA/D-sub",1 x PCIe 4.0/3.0 x16; 1 x PCIe 3.0 x1,4 x USB 3.2 (tối đa 6); 2 x USB 2.0(tối đa 6),1 x LAN 1 Gb/s,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,,budget
mainboard_032,Mainboard,Mainboard Msi PRO B760M-P DDR4,2790000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-b760m-p-ddr4--s230200077,Msi,36 tháng,PRO,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"4800(OC), 4600(OC), 4400(OC), 4266(OC), 4200(OC), 4000(OC), 3800(OC), 3733(OC), 3600(OC), 3466(OC)","4 x SATA 3 6Gb/s, 1 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort, 1 x VGA/D-sub",1 x PCI Express x16; 2 x PCI Express x1,- 1 x USB Type-C - 1 x USB 3.2 (Tối đa 3) - 4 x USB 2.0(Tối đa 8),1 x LAN 1 Gb/s,,#NAME?,,,mid
mainboard_033,Mainboard,Mainboard Msi PRO B760M-A WIFI DDR4,3599000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-b760m-a-wifi-ddr4--s230200076,Msi,36 tháng,PRO,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"5333(OC), 5200(OC), 5066(OC), 5000(OC), 4800(OC), 4600(OC), 4400(OC), 4266(OC), 4200(OC), 4000(OC)","4 x SATA 3 6Gb/s, 1 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"2 x HDMI, 2 x DisplayPort",2 x PCI Express x16; 1 x PCI Express x1,- USB Type-C (Tối đa 1) - 4 x USB 3.2 (Tối đa 8) - 2 x USB 2.0(Tối đa 6),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",#NAME?,,,mid
mainboard_034,Mainboard,Mainboard Gigabyte Z790M AORUS ELITE AX DDR5,5690000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-z790m-aorus-elite-ax--s230100305,Gigabyte,36 tháng,AORUS,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",Z790,LGA1700,Micro-ATX,4 khe,DDR5,128GB,"7600MHz, 7400MHz, 7200MHz, 7000MHz, 6800MHz, 6600MHz, 6400MHz, 6200MHz, 6000MHz, 5800MHz","6 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort",2 x PCI Express x16,- 1 x USB Type-C (Tối đa 2) - 5 x USB 3.2 (Tối đa 7) - 4 x USB 2.0(Tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",#NAME?,RGB,AMD CrossFire,high
mainboard_035,Mainboard,Mainboard Gigabyte B760M DS3H DDR4,2849000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b760m-ds3h-ddr4--s230100294,Gigabyte,36 tháng,,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"5333MHz, 5133MHz, 5000MHz, 4933MHz, 4800MHz, 4700MHz, 4600MHz, 4500MHz, 4400MHz, 4300MHz","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x DisplayPort, 1 x VGA/D-sub",1 x PCI Express x16; 2 x PCI Express x1,- 1 x USB Type-C - 3 x USB 3.2 (Tối đa 5) - 2 x USB 2.0(Tối đa 6),1 x LAN 2.5Gb/s,,#NAME?,,,mid
