ID,category,name,price,link,brand,warranty,type,part_number,color,led,use_case,Dung lượng,Thế hệ,speed,timing,voltage,Mô tả bảo hành,ecc,capacity_gb,speed_mhz
ram_039,RAM,RAM desktop Corsair Dominator Platinum RGB (2 x 32GB) DDR5 5600MHz (CMT64GX5M2B5600C40W),30990000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5600mhz-64gb-2x32gb-dimm-dominator-platinum-rgb-white-heatspreader-rgb-led-c40-1-25v-cmt64gx5m2b5600c40w--s230201380,Corsair,36 tháng,DDR5,CMT64GX5M2B5600C40W,Trắng,RGB,"Gaming, Văn phòng",2 x 32GB,DDR5,5600MHz,40.0,1.25V,,,64,5600.0
ram_040,RAM,RAM laptop Adata (1 x 16GB) DDR4 3200MHz (AD4S320016G22-SGN),4590000,https://phongvu.vn/ram-laptop-adata-16gb-1x16gb-ddr4-3200-ad4s320016g22-sgn--s221201944,Adata,60 tháng,DDR4,AD4S320016G22-SGN,Xanh,Không LED,"Văn phòng, Học sinh - Sinh viên",1 x 16GB,DDR4,3200MHz,,1.2V,,,16,3200.0
ram_041,RAM,Ram Desktop ADATA XPG D50 DDR4 8GB (1x8GB) 3200 RGB White (AX4U32008G16A-SW50),2490000,https://phongvu.vn/bo-nho-ram-desktop-adata-xpg-d50-ddr4-8gb-3200-white-version-ax4u32008g16a-sw50--s221003863,Adata,60 tháng,DDR4,AX4U320016G16A-SW50,Trắng,RGB,"Văn phòng, Học sinh - Sinh viên",1 x 8GB,DDR4,3200MHz,16.0,1.35V,,,8,3200.0
ram_042,RAM,RAM laptop Crucial (1 x 16GB) DDR5 4800MHz (CT16G48C40S5),6590000,https://phongvu.vn/ram-laptop-ddr5-crucial-16-gb--s220501976,Crucial,36 tháng,DDR5,CT16G48C40S5,Đen,Không LED,,1 x 16GB,DDR5,4800MHz,40.0,1.1V,,,16,4800.0
ram_043,RAM,RAM desktop Kingston FURY Beast (2 x 16GB) DDR5 5600MHz (KF556C40BBK2-32WP),13990000,https://phongvu.vn/ram-kingston-fury-beast-k2-32gb--s220500575,Kingston,36 tháng,DDR5,KF556C40BBK2-32WP,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",2 x 16GB,DDR5,5600MHz,40.0,1.25V,,,32,5600.0
ram_044,RAM,RAM laptop Kingston Fury Impact (1 x 8GB) DDR5 4800MHz (KF548S38IB-8),3790000,https://phongvu.vn/ram-kingston-fury-impact-kf548s38ib-8-8gb--s220500524,Kingston,36 tháng,DDR5,KF548S38IB-8,Đen,Không LED,,1 x 8GB,DDR5,4800MHz,38.0,1.1V,,,8,4800.0
ram_045,RAM,RAM laptop Kingston (1 x 8GB) DDR5 4800MHz (KVR48S40BS6-8),3790000,https://phongvu.vn/ram-kingston-kvr48s40bs6-8-8gb-ddr5--s220500521,Kingston,36 tháng,DDR5,KVR48S40BS6-8,Xanh,Không LED,,1 x 8GB,DDR5,4800MHz,40.0,1.1V,,,8,4800.0
ram_046,RAM,RAM desktop Kingston FURY Beast (1 x 16GB) DDR4 3200MHz (KF432C16BB/16),4890000,https://phongvu.vn/ram-desktop-kingston-fury-beast-16gb-ddr4-3200mt-s-kf432c16bb-16--s220303993,Kingston,36 tháng,DDR4,KF432C16BB/16,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR4,3200MHz,17.0,1.2V,,,16,3200.0
ram_047,RAM,RAM desktop Corsair Vengeance RGB RS (1 x 8GB) DDR4 3200MHz (CMG8GX4M1E3200C16),2590000,https://phongvu.vn/ram-corsair-ddr4-8gb-3200mhz-cmg8gx4m1e3200c16--s220303974,Corsair,36 tháng,DDR4,CMG8GX4M1E3200C16,Đen,RGB,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 8GB,DDR4,3200MHz,16.0,1.35V,,,8,3200.0
ram_048,RAM,RAM desktop Corsair Vengeance LPX (1 x 16GB) DDR4 3200MHz (CMK16GX4M1E3200C16),4590000,https://phongvu.vn/ram-corsair-ddr4-16gb-3200mhz--s220303973,Corsair,36 tháng,DDR4,CMK16GX4M1E3200C16,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR4,3200MHz,16.0,1.35V,,,16,3200.0
