ID,category,name,price,link,brand,warranty,Thương hiệu CPU,use_case,Series,Thế hệ,CPU,Ra mắt,Số nhân xử lý,Số luồng của CPU,base_clock,tdp,Nhiệt độ tối đa,cache,socket,supported_ddr,Đồ hoạ tích hợp,Phiên bản PCI Express,Số cổng PCI Express,tdp_w,cpu_tier
cpu_058,CPU,CPU AMD Ryzen 9 9900X (12 nhân 24 luồng - Boost to 5.6 GHz - 64MB - AM5),12700000,https://phongvu.vn/cpu-amd-ryzen-9-9900x-4-4-ghz-boost-to-5-6-ghz--s240803312,AMD,36 tháng,AMD,Gaming,Ryzen 9,AMD Ryzen thế hệ thứ 9,AMD Ryzen™ 9 9900X,15/08/2024,12,24,- Xung nhịp cơ bản: 4.4GHz - - Xung nhịp tối đa lên tới: 5.6 GHz,120.0,95°C,64MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,PCIe® 5.0,,120.0,high
cpu_059,CPU,CPU Intel Core i5-14600KF (14 nhân 20 luồng - Boost to 5.3 GHz - 24MB - 1700),7590000,https://phongvu.vn/cpu-intel-core-i5-14600kf-2-6ghz-5-0ghz-turbo-boost--s240603291,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 14,Intel® Core™ i5 14600KF,,14,20,- Tần số Turbo tối đa 5.3 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.0 GHz - - Tốc độ cơ bản của P-core 3.5 GHz - - Tốc độ cơ bản của E-core 2.6 GHz,125.0,100°C,24MB,FCLGA1700,- Hỗ trợ tối đa: 192 GB - DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,mid
cpu_060,CPU,CPU AMD Ryzen 5 7500F (6 nhân 12 luồng - Boost to 5.0 GHz - 32MB - AM5),5199000,https://phongvu.vn/cpu-amd-ryzen-5-7500f-3-7ghz-boost-to-5-0ghz--s240602373,AMD,36 tháng,AMD,Gaming,Ryzen 5,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 5 7500F,06/05/2024,6,12,- Xung nhịp cơ bản: 3.7GHz - - Xung nhịp tối đa lên tới: 5.0 GHz,65.0,95°C,32MB,AM5,- DDR5 up to 5200 MT/s,,PCIe® 5.0,,65.0,mid
cpu_061,CPU,CPU AMD Ryzen 5 8600G (6 nhân 12 luồng - Boost to 5.1 GHz - 22MB - AM5),6890000,https://phongvu.vn/cpu-amd-ryzen-5-8600g-4-3-ghz-boost-to-5-0-ghz--s240103592,AMD,36 tháng,AMD,Gaming,Ryzen 5,AMD Ryzen thế hệ thứ 8,AMD Ryzen™ 5 8600G,30/01/2024,6,12,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 5.1 GHz,65.0,95°C,22MB,AM5,DDR5 up to 5200 MT/s,AMD Radeon™ 760M,PCIe® 4.0,,65.0,mid
cpu_062,CPU,CPU AMD RYZEN™ 7 5700X3D (8 Core/16 Threads - 3.0 GHz Boost to 4.1 GHz - 100MB Cache - AM4),7490000,https://phongvu.vn/cpu-amd-ryzen-7-5700x3d-3-0-ghz-boost-to-4-1-ghz--s240103590,AMD,36 tháng,AMD,Gaming,Ryzen 7,AMD Ryzen thế hệ thứ 5,AMD Ryzen™ 7 5700X3D,30/01/2024,8,16,- Xung nhịp cơ bản: 3.0GHz - - Xung nhịp tối đa lên tới: 4.1 GHz,105.0,90°C,100MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,105.0,mid
cpu_063,CPU,CPU AMD Ryzen 7 8700G (8 nhân 16 luồng - Boost to 5.1 GHz - 24MB - AM5),9790000,https://phongvu.vn/cpu-amd-ryzen-7-8700g-4-2-ghz-boost-to-5-1-ghz--s240103589,AMD,36 tháng,AMD,Gaming,Ryzen 7,AMD Ryzen thế hệ thứ 8,AMD Ryzen™ 7 8700G,01/31/2024,8,16,- Xung nhịp cơ bản: 4.2GHz - - Xung nhịp tối đa lên tới: 5.1 GHz,65.0,95°C,24MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ 780M,PCIe® 4.0,20.0,65.0,high
cpu_064,CPU,CPU Intel Core i7-14700 (20 nhân 28 luồng - Boost to 5.4 GHz - 33MB - 1700),12390000,https://phongvu.vn/cpu-intel-core-i7-14700--s231204443,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i7,Intel Core thế hệ thứ 14,Intel® Core™ i7-14700,"Quý 1, 2024",20,28,- Tần số Turbo tối đa 5.4 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.2 GHz - - Tốc độ cơ bản của P-core 2.1 GHz - - Tốc độ cơ bản của E-core 1.5 GHz,65.0,100°C,30MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,high
cpu_065,CPU,CPU Intel Core i5-14500 (14 nhân 20 luồng - Boost to 5.0 GHz - 24MB - 1700),9490000,https://phongvu.vn/cpu-intel-core-i5-14500-3-5-ghz-5-3-ghz-turbo-boost--s231204442,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i5,Intel Core thế hệ thứ 14,Intel® Core™ i5-14500,,14,20,- Tần số Turbo tối đa 5.0 GHz - - Tốc độ Turbo tối đa của P-core 5.0 GHz - - Tốc độ Turbo tối đa của E-core 3.7 GHz - - Tốc độ cơ bản của P-core 2.6 GHz - - Tốc độ cơ bản của E-core 1.9 GHz,65.0,100°C,24MB,LGA1700,- Hỗ trợ tối đa: 192 GB -DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,high
cpu_066,CPU,CPU Intel Core i3-14100F (4 nhân 8 luồng -Boost to 4.7 GHz - 12MB - 1700),3090000,https://phongvu.vn/cpu-intel-core-i3-14100f--s231204439,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i3,Intel Core thế hệ thứ 14,Intel® Core™ i3-14100F,"Quý 1, 2024",4,8,- Tần số Turbo tối đa 4.7 GHz - - Tốc độ Turbo tối đa của P-core 4.7 GHz - - Tốc độ cơ bản của P-core 3.5 GHz,58.0,100°C,12MB,LGA1700,- DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,58.0,mid
cpu_067,CPU,CPU AMD Ryzen Threadripper 7975WX (32 nhân 64 luồng - Boost to 5.3 GHz - 160MB - sTR5),119000000,https://phongvu.vn/cpu-amd-ryzen-threadripper-pro-7975wx-4-0ghz-boost-to-5-3ghz--s231103713,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen Threadripper,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ Threadripper Pro 7975WX,22/11/2023,32,64,- Xung nhịp cơ bản: 4.0GHz - - Xung nhịp tối đa lên tới: 5.3 GHz,350.0,95°C,160MB,sTR5,DDR5,,PCIe® 5.0,128.0,350.0,extreme
