ID,category,name,price,link,brand,warranty,model_name,part_number,series,color,Công suất tối đa,Hiệu suất,modular,form_factor,Số cổng cắm,Quạt làm mát,Nguồn đầu vào,Khối lượng,Kích thước,pfc,protection_cert,Nhiệt độ môi trường hoạt động lý tưởng của nguồn,power_factor,tier,warranty_period,sku,status,features,availability,led,warranty_desc,wattage_w,psu_tier
psu_001,PSU,Nguồn máy tính Corsair HX1500i - 1500W - Cybenetics Platinum - Full Modular (CP-9020269-NA),8990000,https://phongvu.vn/nguon-may-tinh-corsair-hx1500i-shift-platinum-full-modular-cp-9020269-na--s260302529,Corsair,120 tháng,HX1500i,CP-9020269-NA,HXI SHIFT Series,Đen,1500W,Cybenetics Platinum,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 12 x SATA, 6 x 8-pin (6+2) PCIE, 8 x PATA",1 x 140 mm,100 - 240VAC,4.348kg,20 x 15 x 8.6cm,,,,,,,,,,,,,1500.0,extreme
psu_002,PSU,Nguồn máy tính Corsair RM1000x - 1000W - Cybenetics Gold - Full Modular (CP-9020275-NA),4990000,https://phongvu.vn/nguon-may-tinh-corsair-rm1000x-shift-80-plus-gold-white-full-modular-cp-9020275-na--s260302503,Corsair,120 tháng,RM1000x,CP-9020275-NA,RMx SHIFT Series,Trắng,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 16 x SATA, 4 x 8-pin (6+2) PCIE, 8 x PATA",1 x 140 mm,100 - 240VAC,3.9kg,,,,,,,,,,,,,,1000.0,high
psu_003,PSU,Nguồn máy tính Corsair RM850e - 850W - Cybenetics Gold - Full Modular (CP-9020293-NA),3590000,https://phongvu.vn/nguon-may-tinh-psu-corsair-rm850e-white-atx-3-1-full-modular-cp-9020293-na--s260302480,Corsair,84 tháng,RM850e,CP-9020293-NA,RMe Series,Trắng,850W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 6 x SATA, 3 x 8-pin (6+2) PCIE, 2 x PATA",1 x 120 mm,100 - 240VAC,2.93kg,14 x 15 x 8.6 cm,,,,,,,,,,,,,850.0,high
psu_004,PSU,Nguồn máy tính Msi MAG A750BN PCIE5 III - 750W - 80 Plus Bronze,1590000,https://phongvu.vn/nguon-may-tinh-msi-a750bn-pcie5-iii-750w-80-plus-non-modular-306-7zptx25-hd8--s251111600,Msi,36 tháng,MAG A750BN PCIE5 III,306-7ZPTX25-HD8,MAG,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 16-pin PCIE, 3 x 8-pin (6+2) PCIE, 3 x SATA, 2 x Peripheral (4-pin)",1 x 120 mm,100 - 240VAC,2.5kg,140 x 150 x 86 mm,Active,"OVP, OCP, SCP, OPP, UVP",,,,,,,,,,,750.0,mid
psu_005,PSU,Nguồn máy tính Cooler Master CoolerMaster V Platinum 1600 V2 - 1600W - 80 Plus Platinum - Full Modular (MPZ-G002-AFAP-BEU),7590000,https://phongvu.vn/nguon-may-tinh-coolermaster-v-platinum-1600-v2-a-eu-cord--s250637345,Cooler Master,144 tháng,CoolerMaster V Platinum 1600 V2,MPZ-G002-AFAP-BEU,,Đen,1600W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 1x 8-pin EPS, 16 x SATA, 4 x Peripheral (4-pin), 5 x 8-pin (6+2) PCIE, 2 x 12V-2x6 Connectors",1 x 135 mm,100 - 240VAC,3.55kg,160 x 150 x 86 mm,,"OPP, OVP, OTP, OCP, SCP, UVP",50 độ C,,,,,,,,,,1600.0,extreme
psu_006,PSU,Nguồn máy tính Cooler Master MWE Gold 850 V3 ATX 3.1 - 850W - 80 Plus Gold - Full Modular (MPX-8503-AFAG-2***),2690000,https://phongvu.vn/nguon-may-tinh-cooler-master-mwe-gold-850-v3-atx-3-1--s250504322,Cooler Master,120 tháng,MWE Gold 850 V3 ATX 3.1,MPX-8503-AFAG-2***,MWE Gold,Đen,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 1x 8-pin EPS, 6 x SATA, 2 x Peripheral (4-pin), 4 x 8-pin (6+2) PCIE",1 x 120 mm,100 - 240VAC,2.614 kg,160 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, OCP, UVP",40 độ C,,,,,,,,,,850.0,high
psu_007,PSU,Nguồn máy tính Corsair RM1000e - 1000W - Cybenetics Gold - Full Modular,4390000,https://phongvu.vn/nguon-may-tinh-corsair-rm1000e-atx-3-1-cybenetics-gold-full-modul--s250309516,Corsair,84 tháng,RM1000e,,RMe Series,Đen,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 8-pin (6+2) PCIE, 2 x PATA, 6 x SATA, 1 x 16-pin (12+4) PCIE",1 x 120 mm,100 - 240VAC,3.23 kg,14 x 150 x 8.6 cm,,,,,,,,,,,,,1000.0,high
psu_008,PSU,Nguồn máy tính Corsair RM850ep - 850W - Cybenetics Gold - Full Modular (CP-9020296-NA),2890000,https://phongvu.vn/nguon-may-tinh-corsair-rm850e-atx-3-1-cybenetics-gold-full-modul-cp-9020296-na--s250309302,Corsair,84 tháng,RM850ep,CP-9020296-NA,RMe Series,Đen,850W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 2 x PATA, 6 x SATA, 1 x 16-pin (12+4) PCIE, 3 x 8-pin (6+2) PCIE",1 x 120 mm,100 - 240VAC,2.93g,14 x 15 x 8.6 cm,,,,,,,,,,,,,850.0,high
psu_009,PSU,Nguồn máy tính Msi MAG A650BNL - 650W - 80 Plus Bronze,1390000,https://phongvu.vn/nguon-may-tinh-msi-mag-a650bnl--s250301349,Msi,36 tháng,MAG A650BNL,,MAG,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 2 x 8-pin (6+2) PCIE, 5 x SATA, 2 x Peripheral (4-pin), 1 x FDD (4-pin)",1 x 120 mm,110 - 240VAC,,150 x 140 x 86mm,Active,"OCP, OVP, OPP, SCP",,,,,,,,,,,650.0,mid
psu_010,PSU,Nguồn máy tính Msi MAG A1250GL PCIE5 - 1250W - 80 Plus Gold - Full Modular,5790000,https://phongvu.vn/nguon-may-tinh-msi-mag-a1250gl-pcie5--s250116590,Msi,60 tháng,MAG A1250GL PCIE5,,MAG,Đen,1250W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 16-pin PCIE 5.0, 4 x 8-pin (6+2) PCIE, 12 x SATA, 1 x FDD (4-pin)",1 x 135 mm,100 - 240VAC,169g,150 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,1250.0,extreme
psu_011,PSU,Nguồn máy tính Gigabyte GP-P650SS - 650W - 80 Plus Silver,1249000,https://phongvu.vn/nguon-may-tinh-gigabyte-gp-p650ss-650w--s240705164,Gigabyte,36 tháng,GP-P650SS,,,Đen,650W,80 Plus Silver,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 3 x Peripheral (4-pin), 5 x SATA, 2 x 8-pin (6+2) PCIE",1 x 120 mm,155 - 240VAC,1.5 kg,150 x 140 x 86 mm,Active,"OVP, OPP, SCP, UVP, OCP, OTP",,0.9,,,,,,,,,650.0,mid
psu_012,PSU,Nguồn máy tính Corsair CX750 - 750W - 80 Plus Bronze,1690000,https://phongvu.vn/nguon-may-tinh-corsair-cx750-cp-9020279-na--s240100191,Corsair,60 tháng,CX750,CP-9020279-NA,CX,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 8-pin (4+4) EPS, 1 x 24-pin Main, 3 x 8-pin (6+2) PCIE, 3 x SATA, 2 x PATA",1 x 120 mm,100 - 240VAC,2.335 kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,750.0,mid
psu_013,PSU,Nguồn máy tính Corsair CX650 - 650W - 80 Plus Bronze,1450000,https://phongvu.vn/nguon-may-tinh-corsair-cx650-cp-9020278-na--s240100190,Corsair,60 tháng,CX650,CP-9020278-NA,CX,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"3 x SATA, 1 x 24-pin Main, 2 x 8-pin (6+2) PCIE, 1 x 8-pin (4+4) EPS, 2 x PATA",1 x 120 mm,100 - 240VAC,2.32 kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,650.0,mid
psu_014,PSU,Nguồn máy tính Corsair CX550 - 550W - 80 Plus Bronze,1190000,https://phongvu.vn/nguon-may-tinh-corsair-cx550-cp-9020277-na--s240100189,Corsair,60 tháng,CX550,CP-9020277-NA,CX,Đen,550W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 2 x 8-pin (6+2) PCIE, 3 x SATA, 2 x PATA",1 x 120 mm,100 - 240VAC,2.28kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,550.0,budget
psu_015,PSU,Nguồn máy tính MIK C650B - 650W - 80 Plus Bronze,950000,https://phongvu.vn/nguon-may-tinh-mik-c650b-sp006078--s230904117,MIK,36 tháng,C650B,SP006078,,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (6+2) PCIE, 2 x 8-pin (4+4) CPU, 4 x SATA, 2 x ATA",1 x 120 mm,200 - 240VAC,1.7 kg,15 x 14 x 8.6 cm,Active,"OCP, OVP, SCP",40 độ C,,,,,,,,,,650.0,mid
psu_016,PSU,"PSU MSI MAG A850GL PCIE5 80 PLUS Gold, Full Modular (306-7ZP8A11-CE0)",2790000,https://phongvu.vn/nguon-may-tinh-msi-mag-a850gl-pcie5-80-plus-gold-full-modular-306-7zp8a11-ce0--s230802065,Msi,60 tháng,MAG A850GL,306-7ZP8A11-CE0,MAG,Đen,850W,80 Plus Gold,Full Modular,ATX,"2 x 8-pin (4+4) EPS, 8 x SATA, 1 x FDD (4-pin), 4 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 16-pin PCIE 5.0",1 x 120 mm,100 - 240VAC,,140 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,,unknown
psu_017,PSU,Nguồn máy tính Msi MPG A1000G PCIE5 - 1000W - 80 Plus Gold - Full Modular,4599000,https://phongvu.vn/nguon-may-tinh-msi-mpg-a1000g-pcie5-80-plus-gold-full-modullar--s230302478,Msi,120 tháng,MPG A1000G PCIE5,,,Đen,1000W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 6 x 8-pin (6+2) PCIE, 12 x SATA, 1 x FDD (4-pin)",1 x 135 mm,100 - 240VAC,1.3kg,150 x 150 x 86 mm,Active,"OCP, OVP, OPP, OTP, UVP, SCP",,,,,,,,,,,1000.0,high
psu_018,PSU,Nguồn máy tính MIK SPOWER 500 - 500W -,699000,https://phongvu.vn/nguon-may-tinh-mik-snguon-may-tinh-500-sp005841--s220609564,MIK,36 tháng,SPOWER 500,SP005841,,Đen,500W,,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 4 x SATA, 2 x PATA, 1 x 6+2 pin VGA",1 x 120 mm,110 - 220V,1.3kg,85 x 140 x 150 mm,Active,"OPP, OVP, UVP, SCP, SIP",65 độ C,,,,,,,,,,500.0,budget
psu_019,PSU,Nguồn máy tính Xigmatek X-Power III 650 - 600W -,849000,https://phongvu.vn/nguon-may-tinh-xigmatek-x-nguon-may-tinh-iii-650-600w--s220400811,Xigmatek,36 tháng,X-Power III 650,,,Đen,600W,,không hỗ trợ,ATX,"4 x SATA, 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU",1 x 120 mm,230VAC,1.6 kg,150 x 85 x 140(mm),,"OPP, OVP, SCP, UVP",,,,,,,,,,,600.0,mid
psu_020,PSU,Nguồn máy tính Xigmatek X-Power III 550 - 500W - 80 Plus,769000,https://phongvu.vn/nguon-may-tinh-xigmatek-x-nguon-may-tinh-iii-550-500w-230v--s220400810,Xigmatek,36 tháng,X-Power III 550,,,Đen,500W,80 Plus,không hỗ trợ,ATX,"4 x SATA, 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU",1 x 120 mm,230VAC,1.6 kg,150 x 85 x 140(mm),,"OPP, OVP, SCP, UVP",,,,,,,,,,,500.0,budget
psu_021,PSU,Nguồn máy tính Golden Field Dragon GTX580 - 500W,699000,https://phongvu.vn/nguon-may-tinh-golden-field-dragon-500w-gtx580--s1800957,Golden Field,36 tháng,Dragon GTX580,,,,500W,,không hỗ trợ,ATX,,,,,,,,,,,,,,,,,,500.0,budget
psu_022,PSU,Nguồn/ Power Arrow 650W 24P (12cm) - Demo,149000,https://phongvu.vn/nguon-power-arrow-650w-24p-12cm-demo--s260105239?selectPromotionId=2443463,Arrow,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,1207095.0,"- Sản phẩm trầy xước, cũ, rỉ sét - - Không kèm phụ kiện & hộp",- Công suất: 650W - - Chuẩn kích thước: ATX - - Quạt: 1 x 120 mm,"Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,,650.0,mid
psu_033,PSU,Nguồn/ Power Golden Field 400W ATX-480GT - Demo,149000,https://phongvu.vn/nguon-power-golden-field-400w-atx-480gt-demo--s260105227?selectPromotionId=2443469,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,1703190.0,"- Sản phẩm trầy xước, cũ - - Không kèm phụ kiện & hộp",- Công suất: 400W - - Chuẩn kích thước: ATX - - Quạt: 1 x 135 mm,"Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,,400.0,budget
psu_034,PSU,Nguồn/ Power Golden Field 500W ATX-580GT - Demo,249000,https://phongvu.vn/nguon-power-golden-field-500w-atx-580gt-demo--s260105226?selectPromotionId=2443473,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,1704385.0,"- Sản phẩm trầy xước, cũ - - Không kèm phụ kiện & hộp",- Công suất: 500W - - Chuẩn kích thước: ATX - - Quạt: 1 x 120 mm,"Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,,500.0,budget
psu_040,PSU,Nguồn/ Power Corsair 400W VS - Demo,390000,https://phongvu.vn/nguon-power-corsair-400w-vs-demo--s260105220?selectPromotionId=2443465,Corsair,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,1603492.0,"- Sản phẩm trầy xước, cũ - - Không kèm phụ kiện & hộp",- Công suất: 400W - - Chuẩn hiệu suất: 80 Plus White - - Chuẩn kích thước: ATX - - Quạt: 1 x 120 mm,"Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,,400.0,budget
psu_042,PSU,Nguồn/ Power Y600 T (Stock Buffer) - Demo,80000,https://phongvu.vn/nguon-power-y600-t-stock-buffer-hang-trung-bay--s240901284?selectPromotionId=2443475,Khác,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,201200336.0,"- Sản phẩm trầy xước, cũ - - Không kèm phụ kiện & hộp",- Công suất: 230W - - Chuẩn kích thước: ATX - - Quạt: 1 x 120 mm,"Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,,,unknown
psu_043,PSU,Nguồn/ Power Golden Field Dragon 400W GTX480 - Demo,45000,https://phongvu.vn/nguon-power-golden-field-dragon-400w-gtx480-hang-trung-bay--s240901197?selectPromotionId=2443474,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,29/07/2026,1800041.0,"- Sản phẩm trầy xước, cũ, dây bị cắt 1 đoạn - - Vỏ hộp sai SN",- Công suất: 400W - - Chuẩn kích thước: ATX - - Quạt: 1 x 120 mm,"Cửa hàng 82 Bạch Đằng, Phường Phước Trung, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,,400.0,budget
psu_044,PSU,Nguồn máy tính Xigmatek LITEPOWER II i550 - EN46421 - 400W - 80 Plus Bronze,590000,https://phongvu.vn/nguon-may-tinh-psu-xigmatek-litepower-ii-i550-en46421--s260305562,Xigmatek,36 tháng,LITEPOWER II i550 - EN46421,EN46421,,Đen,400W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin (6+2) PCIE, 3 x SATA, 3 x MOLEX (4-pin)",1 x 120 mm,220 - 240VAC,1.4kg,150 x 85 x 140(mm),Active,"OPP, UVP, OVP, SCP",,,,,,,,,,,400.0,budget
psu_045,PSU,Nguồn máy tính Corsair RM1000x - 1000W - Cybenetics Gold - Full Modular (CP-9020271-NA),4890000,https://phongvu.vn/nguon-may-tinh-corsair-rm1000x-atx-3-1-full-modular-cp-9020271-na--s260302490,Corsair,120 tháng,RM1000x,CP-9020271-NA,RMx,Đen,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 12 x SATA, 4 x 8-pin (6+2) PCIE, 6 x PATA",1 x 140 mm,100 - 240VAC,3.65kg,16 x 15 x 8.6 cm,,,,,,,,,,,,,1000.0,high
psu_046,PSU,Nguồn máy tính Corsair RM750e - 750W - Cybenetics Gold - Full Modular (CP-9020292-N),3190000,https://phongvu.vn/nguon-may-tinh-psu-corsair-rm750e-white-atx-3-1-full-modular-cp-9020292-na--s260302475,Corsair,84 tháng,RM750e,CP-9020292-N,RMe Series,Trắng,750W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 6 x SATA, 3 x 8-pin (6+2) PCIE, 2 x PATA",1 x 120 mm,100 - 240VAC,2.901 Kg,14 x 15 x 8.6 cm,,,,,,,,,,,,,750.0,mid
psu_047,PSU,Nguồn máy tính Corsair HX1200i 2025 - 1200W - 80 Plus Platinum - Full Modular (CP-9020307-NA),7990000,https://phongvu.vn/nguon-may-tinh-psu-corsair-hx1200i-2025-full-modular-cp-9020307-na--s260302463,Corsair,120 tháng,HX1200i 2025,CP-9020307-NA,HXI Series,Đen,1200W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 5 x 8-pin (6+2) PCIE, 8 x SATA, 6 x PATA",1 x 140 mm,100 - 240VAC,4.84kg,,,,,,,,,,,,,,1200.0,extreme
psu_048,PSU,Nguồn máy tính Asus ROG Thor 1200W Platinum III Hatsune Miku Edition - 1200W - 80 Plus Platinum - Full Modular,14990000,https://phongvu.vn/nguon-may-tinh-asus-rog-thor-1200w-platinum-iii-hatsune-miku-edition--s251101069,Asus,120 tháng,ROG Thor 1200W Platinum III Hatsune Miku Edition,,ROG,Đen,1200W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 1 x 16-pin PCIE, 4 x 8-pin (6+2) PCIE, 7 x SATA, 6 x Peripheral (4-pin)",1 x 135 mm,100 - 240VAC,2.37 kg,190 x 150 x 86 mm,Active,"OPP, OVP, UVP, SCP, OCP, OTP",25°C,,,,,,,,ARGB,,1200.0,extreme
psu_049,PSU,Nguồn máy tính Cooler Master MWE Gold 850 V3 ATX 3.1 - Non Modular - 850W - 80 Plus Gold,1990000,https://phongvu.vn/nguon-may-tinh-cooler-master-mwe-gold-850-v3-atx-3-1-non-modular--s250906227,Cooler Master,60 tháng,MWE Gold 850 V3 ATX 3.1 - Non Modular,MPE8506ACAGBEU1252000470,MWE Gold,Đen,850W,80 Plus Gold,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 1x 8-pin EPS, 4 x 8-pin (6+2) PCIE, 6 x SATA, 2 x Peripheral (4-pin)",1 x 120 mm,100 - 240VAC,2.614 kg,140 x 150 x 86 mm,Active,"OVP, OPP, SCP, UVP, OTP, OCP",50 độ C,,,,,,,,,,850.0,high
psu_050,PSU,Nguồn máy tính Asus 650W Bronze - 650W - 80 Plus Bronze - (90YE00Y1-B0NA00),1490000,https://phongvu.vn/nguon-may-tinh-asus-prime-80plus-bronze-650w-prime-650b-black-90ye00y1-b0na00--s250906228,Asus,72 tháng,650W Bronze,90YE00Y1-B0NA00,Prime,Đen,650W,80 Plus Bronze,,ATX,"1 x 20/24-pin Main, 1 x 8-pin (4+4) EPS, 2 x 8-pin PCIE, 5 x SATA, 3 x Peripheral (4-pin)",,100 - 240VAC,3.067kg,150 x 150 x 86 mm,Active,"OPP, OVP, UVP, SCP, OCP, OTP",,,,,,,,,,,650.0,mid
psu_051,PSU,Nguồn máy tính Asus 750W Bronze - 750W - 80 Plus Bronze - (90YE00Y0-B0NA00),1690000,https://phongvu.vn/nguon-may-tinh-asus-prime-80plus-bronze-750w-prime-750b-black-90ye00y0-b0na00--s250906226,Asus,72 tháng,750W Bronze,90YE00Y0-B0NA00,Prime,Đen,750W,80 Plus Bronze,,ATX,"1 x 20/24-pin Main, 2 x 8-pin (4+4) EPS, 3 x 8-pin PCIE, 6 x SATA, 3 x Peripheral (4-pin)",,100 - 240VAC,3.067kg,150 x 150 x 86 mm,Active,"OPP, OVP, UVP, SCP, OCP, OTP",,,,,,,,,,,750.0,mid
psu_052,PSU,Nguồn máy tính Super Flower Leadex VII XG 850W ATX 3.1 - 850W - 80 Plus Gold - Full Modular (SF-850F14XG(WH)),3290000,https://phongvu.vn/nguon-may-tinh-super-flower-leadex-vii-xg-850w-atx-3-1-white-80-plus-gold-sf-850f14xg-wh--s250504132,Super Flower,60 tháng,Leadex VII XG 850W ATX 3.1,SF-850F14XG(WH),,Trắng,850W,80 Plus Gold,Full Modular,ATX,"1 x 20+4 pin MB, 2 x 8-pin (4+4) CPU, 3 x 8-pin (6+2) PCIE, 3 x 4 SATA, 1 x MOLEX (4-pin), 1 x 16-pin PCIE",1 x 140 mm,100 - 240VAC,2.64kg,160 x 150 x 86 mm,Passive,"OVP, OCP, OPP, SCP, UVP, OTP, LVP, NLO, SIP",50 độ C,,,,,,,,,,850.0,high
psu_053,PSU,Nguồn máy tính Corsair RM750e - 750W - Cybenetics Gold - Full Modular,2790000,https://phongvu.vn/nguon-may-tinh-corsair-rm750e-atx-3-1-cybenetics-gold-full-modul--s250309515,Corsair,84 tháng,RM750e,,RMe Series,Đen,750W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 6 x SATA, 3 x 8-pin (6+2) PCIE, 2 x PATA",1 x 120 mm,100 - 240VAC,2.901 Kg,14 x 15 x 8.6 cm,,,,,,,,,,,,,750.0,mid
psu_054,PSU,Nguồn máy tính Nzxt C850 - 850W - 80 Plus Gold - Full Modular (PA-8G2BW-EU),3690000,https://phongvu.vn/nguon-may-tinh-nzxt-850w-gold-atx-3-1-v2-white--s241106205,Nzxt,120 tháng,C850,PA-8G2BW-EU,,Trắng,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin CPU, 3 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin)",1 x 135 mm,100 - 240VAC,2.5kg,135 x 135 x 25 mm,Active,"FCC, Canada, CE, CB, UKCA, CCC, BSMI, BIS, RCM, UAE",50 độ C,0.99,,,,,,,,,850.0,high
psu_055,PSU,Nguồn máy tính Nzxt C1200 - 1200W - 80 Plus Gold - Full Modular (PA-2G2BB-EU),4990000,https://phongvu.vn/nguon-may-tinh-nzxt-1200w-gold-atx-3-1-v2-black--s241106198,Nzxt,120 tháng,C1200,PA-2G2BB-EU,,Đen,1200W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin CPU, 3 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin)",1 x 135 mm,200 - 240VAC,2.5kg,135 x 135 x 25 mm,Active,"FCC, Canada, CE, CB, UKCA, CCC, BSMI, BIS, RCM, UAE",50 độ C,0.99,,,,,,,,,1200.0,extreme
psu_056,PSU,Nguồn máy tính Nzxt C1500 - 1500W - 80 Plus Platinum - Full Modular (PA-5P1BB-EU),8990000,https://phongvu.vn/nguon-may-tinh-nzxt-1500w-platinum-atx-3-1-v2-black--s241106195,Nzxt,120 tháng,C1500,PA-5P1BB-EU,,Đen,1500W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin CPU, 6 x 8-pin (6+2) PCIE, 2 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin)",1 x 140 mm,200 - 240VAC,2.9kg,140 x 140 x 25 mm,Active,"FCC, Canada, CE, CB, UKCA, CCC, BSMI, BIS, RCM, UAE",50 độ C,0.99,,,,,,,,,1500.0,extreme
psu_057,PSU,Nguồn máy tính Nzxt C1000 - 1000W - 80 Plus Gold - Full Modular (PA-1G2BB-EU),4590000,https://phongvu.vn/nguon-may-tinh-nzxt-1000w-gold-atx-3-1-v2-black--s241106191,Nzxt,120 tháng,C1000,PA-1G2BB-EU,,Đen,1000W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin CPU, 3 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin)",1 x 135 mm,200 - 240VAC,2.5kg,135 x 135 x 25 mm,Active,"FCC, Canada, CE, CB, UKCA, CCC, BSMI, BIS, RCM, UAE",50 độ C,0.99,,,,,,,,,1000.0,high
psu_058,PSU,Nguồn máy tính Nzxt C1200 - 1200W - 80 Plus Gold - Full Modular (PA-2G2BW-EU),5090000,https://phongvu.vn/nguon-may-tinh-nzxt-1200w-gold-atx-3-1-v2-white--s241106188,Nzxt,120 tháng,C1200,PA-2G2BW-EU,,Trắng,1200W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin CPU, 3 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin)",1 x 135 mm,200 - 240VAC,2.5kg,135 x 135 x 25 mm,Active,"FCC, Canada, CE, CB, UKCA, CCC, BSMI, BIS, RCM, UAE",50 độ C,0.99,,,,,,,,,1200.0,extreme
