ID,category,name,price,link,brand,warranty,model_name,part_number,series,color,Công suất tối đa,Hiệu suất,modular,form_factor,Số cổng cắm,Quạt làm mát,Nguồn đầu vào,Khối lượng,Kích thước,pfc,protection_cert,Nhiệt độ môi trường hoạt động lý tưởng của nguồn,power_factor,tier,warranty_period,sku,status,features,availability,led,warranty_desc,wattage_w,psu_tier
psu_146,PSU,Nguồn máy tính Thermaltake TOUGHPOWER GF A3 Snow - 850W - 80 Plus Gold - Full Modular,3290000,https://phongvu.vn/nguon-may-tinh-thermaltake-toughnguon-may-tinh-gf-a3-850w-snow-trang-atx-3-0--s240302573,Thermaltake,120 tháng,TOUGHPOWER GF A3 Snow,,,Trắng,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 4 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 4 x SATA, 8 x Peripheral (4-pin), 1 x Floppy",1 x 120 mm,100 - 240VAC,150 x 86 x 140 mm,1 kg,Active,"OVP, SCP, OPP, OTP, UVP, OCP",45 độ C,,,,,,,,,,850.0,high
psu_147,PSU,Nguồn máy tính Thermaltake TOUGHPOWER GF A3 - 850W - 80 Plus Gold - Full Modular,3190000,https://phongvu.vn/nguon-may-tinh-thermaltake-toughnguon-may-tinh-gf-a3-850w-atx-3-0--s240302572,Thermaltake,120 tháng,TOUGHPOWER GF A3,,,Đen,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 4 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 8 x SATA, 4 x Peripheral (4-pin), 1 x Floppy, 2 x 8-pin (4+4) EPS",1 x 120 mm,100 - 240VAC,150 x 86 x 140 mm,1 kg,Active,"OVP, SCP, OPP, OTP, UVP, OCP",45 độ C,,,,,,,,,,850.0,high
psu_148,PSU,Nguồn máy tính Thermaltake TOUGHPOWER GF A3 - 750W - 80 Plus Gold - Full Modular,2890000,https://phongvu.vn/nguon-may-tinh-thermaltake-toughnguon-may-tinh-gf-a3-750w-atx-3-0--s240302571,Thermaltake,120 tháng,TOUGHPOWER GF A3,,,Đen,750W,80 Plus Gold,Full Modular,ATX,"4 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 8 x SATA, 4 x Peripheral (4-pin), 1 x Floppy, 1 x 24-pin Main",1 x 120 mm,100 - 240VAC,150 x 86 x 140 mm,1 kg,Active,"OVP, SCP, OPP, OTP, UVP, OCP",45 độ C,,,,,,,,,,750.0,mid
psu_149,PSU,Nguồn máy tính Thermaltake SMART BX1 - 750W - 80 Plus Bronze,1490000,https://phongvu.vn/nguon-may-tinh-thermaltake-smart-bx1-750w-dc-dc--s240302570,Thermaltake,60 tháng,SMART BX1,,,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 8 x SATA, 4 x 8-pin (6+2) PCIE, 4 x Peripheral (4-pin), 1 x Floppy",1 x 120 mm,100 - 240VAC,1 kg,150 x 86 x 140 mm,Active,"CE, CB, TUV, FCC, BSMI",40 độ C,,,,,,,,,,750.0,mid
psu_150,PSU,Nguồn máy tính Thermaltake SMART BX1 650W - 650W - 80 Plus Bronze,1390000,https://phongvu.vn/nguon-may-tinh-thermaltake-smart-bx1-650w-dc-dc--s240302569,Thermaltake,60 tháng,SMART BX1 650W,SPD-650AH2NKB,,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 6 x SATA, 2 x 8-pin (6+2) PCIE, 4 x Peripheral (4-pin), 1 x Floppy",1 x 120 mm,100 - 240VAC,1 Kg,150 x 86 x 140 mm,Active,"CE, CB, TUV, FCC, BSMI",40 độ C,,,,,,,,,,650.0,mid
psu_151,PSU,Nguồn máy tính MIK SPOWER 350 - 350W -,359000,https://phongvu.vn/nguon-may-tinh-mik-snguon-may-tinh-350-sp006055--s230904116,MIK,36 tháng,SPOWER 350,SP006055,,Đen,350W,,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 1 x 8-pin (6+2) PCIE, 4 x SATA",1 x 120 mm,220 - 230VAC,1.2 kg,15 x 14 x 8.5 cm,,"OPP, OVP, SCP",,,,,,,,,,,350.0,budget
psu_152,PSU,Nguồn máy tính Cooler Master Elite NEX 230V PN800 - 750W -,1150000,https://phongvu.vn/nguon-may-tinh-cooler-master-elite-nex-230v-pn800-mpw-8001-acbk-p--s230603859,Cooler Master,36 tháng,Elite NEX 230V PN800,MPW-8001-ACBK-P,,Đen,750W,,không hỗ trợ,ATX,"1 x 8-pin (4+4) EPS, 5 x SATA, 1 x Peripheral (4-pin), 1 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1x 8-pin EPS",1 x 120 mm,200 - 240VAC,,140 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP",40 độ C,,,,,,,,Đơn sắc,,750.0,mid
psu_153,PSU,Nguồn máy tính Corsair SF1000L - 1000W - 80 Plus Gold - Full Modular (CP-9020246-NA),5300000,https://phongvu.vn/nguon-may-tinh-corsair-sf1000l-atx-3-0-pcie-5-0-80-plus-gold-full-modul-cp-9020246-na--s230500078,Corsair,84 tháng,SF1000L,CP-9020246-NA,,Đen,1000W,80 Plus Gold,Full Modular,ATX,"2 x 8-pin (4+4) EPS, 8 x SATA, 5 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 16-pin (12+4) PCIE",1 x 120 mm,100 - 240VAC,1.14KG,,,,,,,,,,,,,,1000.0,high
psu_154,PSU,Nguồn máy tính Corsair SF850L - 850W - 80 Plus Gold - Full Modular (CP-9020213-NA),4400000,https://phongvu.vn/nguon-may-tinh-corsair-sf850l-atx-3-0-pcie-5-0-80-plus-gold-full-modul-cp-9020245-na--s230500077,Corsair,84 tháng,SF850L,CP-9020213-NA,,Đen,850W,80 Plus Gold,Full Modular,ATX,"2 x 8-pin (4+4) EPS, 8 x SATA, 4 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 16-pin (12+4) PCIE",1 x 120 mm,100 - 240VAC,1.12kg,,,,,,,,,,,,,,850.0,high
psu_155,PSU,Nguồn máy tính Cooler Master MPE-A501-AFCAG - 1050W - 80 Plus Gold - Full Modular (MPE-A501-AFCAG-3),4590000,https://phongvu.vn/nguon-may-tinh-nguon-may-tinh-cooler-master-mwe-gold-v2-fully-modular-1050w-a-eu-cable-atx3-0-mpe-a501-afcag-3eu--s230400847,Cooler Master,120 tháng,MPE-A501-AFCAG,MPE-A501-AFCAG-3,MWE,Đen,1050W,80 Plus Gold,Full Modular,ATX,"1 x 12VHPWR Connector, 3 x 8-pin (6+2) PCIE, 4 x Peripheral (4-pin), 12 x SATA, 1 x 8-pin (4+4) EPS, 1 x 24-pin Main",1 x 140 mm,100 - 240VAC,1.5kg,180 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,1050.0,extreme
