ID,category,name,price,link,brand,warranty,model_name,use_case,series,color,material,side_panel,Kích thước,form_factor,mb_support,drive_bays,Cổng kết nối,max_cooler_height,Kích thước radiator tối đa,front_fan,top_fan,rear_fan,Loại quạt hỗ trợ bên hông,Loại quạt hỗ trợ bên dưới,Số slot PCI,part_number,Số lượng quạt tặng kèm,led,tier,warranty_period,sku,status,features,availability,warranty_desc,highlights
case_182,Case,Thùng máy/ Case Xigmatek XA-22 (ATX) EN47567 - Demo,499000,https://phongvu.vn/thung-may-case-xigmatek-xa-22-atx-en47567-demo--s251002214,Xigmatek,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,23/04/2026,220101744.0,"- Sản phẩm chưa qua sử dụng, có trầy xước, bị vỡ góc mặt trước - - Đầy đủ phụ kiện, vỏ hộp ngoài cũ","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX - - Khay mở rộng tối đa: 1 x 3.5"", 2 x 2.5"" - - USB: 2 x USB 1.1","Cửa hàng 40 Lương Ngọc Quyến, Phường Hoàng Văn Thụ, Thành phố Thái Nguyên, Tỉnh Thái Nguyên",,
case_183,Case,Thùng máy/Case Golden Field U2 (Q25B) - Demo,449000,https://phongvu.vn/thung-may-case-golden-field-u2-q25b-hang-trung-bay--s250904070,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - cover,Hết bảo hành,220202566.0,"- Sản phẩm chưa qua sử dụng, có trầy xước - - Đầy đủ phụ kiện, mất hộp","- Hỗ trợ mainboard ATX, Micro-ATX, ITX - - Cổng kết nối 2 x USB 2.0 , - - Hỗ trợ tản nhiệt CPU cao 157mm - - Loại quạt hỗ trợ mặt trước 2 x 120 mm - - Loại quạt hỗ trợ phía sau 1 x 120 mm","Cửa hàng Lô 11 G2 đường Nguyễn Thái Học, Phường 7, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",,
case_184,Case,Thùng máy/ Case Golden Field N95 - Demo,595000,https://phongvu.vn/thung-may-case-golden-field-n95-hang-trung-bay--s250904069,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - cover,Hết bảo hành,220500361.0,"- Sản phẩm đã qua sử dụng, có trầy xước - - Vỏ hộp tốt, đầy đủ phụ kiện","- Hỗ trợ mainboard ATX, Micro-ATX, Mini-ITX - - Cổng kết nối 1 x USB 2.0 , 1 x USB 3.0 - - Hỗ trợ tản nhiệt CPU cao 160mm - - Kích thước Rad tối đa: 240 mm","Cửa hàng 164 Lê Văn Việt, Tăng Nhơn Phú B, Thành Phố Thủ Đức",,"- Quạt hỗ trợ:  3 x 120 mm (phía trước), 2 x 120 mm (phía trên), 1 x 120 mm (phía sau), 2 x 120 mm (bên hông)"
case_189,Case,Thùng máy/ Case Xigmatek XA-20 (ATX) EN46072 - Demo,550000,https://phongvu.vn/thung-may-case-xigmatek-xa-20-atx-en46072-hang-trung-bay--s250645717,Xigmatek,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,16/04/2026,201100369.0,"- Sản phẩm chưa qua sử dụng, có trầy xước, cấn móp, mẻ chân đế - - Vỏ hộp tốt, mất phụ kiện","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX - - Khay mở rộng tối đa: 1 x 3.5"", 2 x 2.5"" - - USB: 1 x USB 2.0","Cửa hàng Số 9-11 Nguyễn Thị Thập, Quận 7, Thành phố Hồ Chí Minh",,
case_190,Case,Thùng máy/ Case Phong Vũ PV-880B (Black) - Đã sử dụng,599000,https://phongvu.vn/thung-may-case-phong-vu-pv-880b-black-hang-thanh-ly--s250415484--s250415484,Phong Vũ,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - cover,Bảo Hành 1 tháng PV,210600038.0,"- Sản phẩm đã qua sử dụng, bị trầy xước - - Vỏ hộp cũ và đầy đủ phụ kiện.","- Kích thước mainboard hỗ trợ Micro-ATX, ATX - - Số khay: 2 x 3.5"" , 2 x 2.5"" , 3 x 5.25""  - - Kiểu case: Mid Tower","62 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội",,
case_191,Case,Thùng máy/ Case Cougar Archon 2 Mesh RGB - Đen (Black) (385CC50.0001) - Đã sử dụng,1390000,https://phongvu.vn/thung-may-case-cougar-archon-2-mesh-rgb-den-black-385cc50-0001-cu--s250308196,Cougar,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - cover,Bảo hành 1 tháng tại Phong Vũ,230400828.0,"- Sản phẩm chưa qua sử dụng - - Bị trầy xước, tróc seal dán kính - - Vỏ hộp cũ","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX - - Khay mở rộng tối đa: 2 x 3.5"", 2+1 x 2.5"" - - USB: , 2 x USB 3.0, 1 x USB 2.0","Cửa hàng 164 Lê Văn Việt, Tăng Nhơn Phú B, Thành Phố Thủ Đức",,
case_193,Case,Thùng máy/ Case Xigmatek XS-19 (EN44380) - Đã sử dụng,300000,https://phongvu.vn/thung-may-case-xigmatek-xs-19-en44380-hang-trung-bay--s250204385,Xigmatek,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - Hàng đã qua đổi trả,Bảo hành 1 tháng tại Phong Vũ,241002565.0,"- Sản phẩm đã qua sử dụng, có trầy xước, nổ sơn, cấn móp - - Vỏ hộp xấu, đầy đủ phụ kiện","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX - - Khay mở rộng tối đa: 2 x 3.5"", 2 x 2.5"" - - USB: 1 x USB 1.1","Cửa hàng Số 234 Ngô Gia Tự, Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",,
case_194,Case,Thùng máy/ Case Golden Field X10 - Demo,499000,https://phongvu.vn/thung-may-case-golden-field-x10-hang-trung-bay--s250204213,Golden Field,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - trưng bày live,Bảo hành 1 tháng tại Phong Vũ,19070611.0,"- Sản phẩm đã qua sử dụng, có trầy xước - - Vỏ hộp xấu, đầy đủ phụ kiện","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX - - Khay mở rộng tối đa: 2 x 3.5"", 2 x 2.5"" - - USB: 2 x USB 2.0 - - Chiều cao tản nhiệt tối đa: 145mm - - Số quạt hỗ trợ: 1 x 120 mm (phía trước), 1 x 90 mm (phía sau) - - Khe PCI: 4","Cửa hàng 264 Nguyễn Thị Minh Khai, P.Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",,
case_196,Case,Thùng máy/ Case Sama Combat - Demo,990000,https://phongvu.vn/thung-may-case-sama-combat-hang-trung-bay--s240901179,Sama,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - lưu kho,Hết bảo hành,1702895.0,"- Sản phẩm chưa qua sử dụng, có trầy xước - - Vỏ hộp xấu","- Hỗ trợ mainboard: Micro-ATX, ATX - - Khay mở rộng tối đa: 3 x 3.5"", 2 x 2.5"" - - USB: 1 x USB 3.0, 2 x USB 2.0","Cửa hàng Lô G2, Đường K1, KCN Cát Lái, Cụm II, P.Thạnh Mỹ Lợi, TP.Thủ Đức",,
case_197,Case,Vỏ máy tính/ CASE Cooler Master COSMOS Alpha Silver,10990000,https://phongvu.vn/vo-may-tinh-case-cooler-master-cosmos-alpha-silver--s260304430,Cooler Master,24 tháng,COSMOS Alpha Silver,Gaming,Cosmos,Bạc,Thép,Kính cường lực,669 x 330 x 639 mm,Full Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX, SSI EEB","2 x 3.5"" , 2 x 2.5""","4 x USB 3.2 , 2 x USB Type C",186 mm,420 mm,"3 x 120 mm, 3 x 140 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 200 mm, 2 x 180 mm",3 x 120 mm,"3 x 120 mm, 3 x 140 mm, 2 x 180 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 180 mm, 2 x 200 mm",8,,,,,,,,,,,
case_198,Case,Vỏ máy tính/ CASE MSI MEG MAESTRO 700L PZ,11990000,https://phongvu.vn/thung-may-case-msi-meg-maestro-700l-pz--s260303848,Msi,12 tháng,MEG MAESTRO 700L PZ,Văn phòng,,Đen,Thép,Kính cường lực,470 x 300 x 474 mm,Mid Tower,ATX,"2 x 3.5"" , 2 x 2.5""","2 x USB 3.2 , 1 x USB Type C",170 mm,360 mm,"3 x 120 mm, 3 x 140 mm",,1 x 120 mm,3 x 120 mm,"3 x 120 mm, 3 x 140 mm",7,,,,,,,,,,,
case_199,Case,Vỏ máy tính/ Case Xigmatek Cloud M DGT Arctic - Trắng (EN49866),890000,https://phongvu.vn/thung-may-case-xigmatek-cloud-m-dgt-arctic-trang-en49866--s260302638,Xigmatek,12 tháng,Cloud M DGT Arctic,"Gaming, Văn phòng, Học sinh - Sinh viên",,Trắng,Thép,,420 x 285 x 382mm,Micro Tower,"Micro-ATX, Mini-ITX","1 x 3.5"" , 2 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",175mm,360 mm,,3 x 120mm/2 x 140mm,1 x 120 mm,2 x 120mm/2 x 140mm,3 x 120mm/2 x 140mm,4,EN49866,,,,,,,,,,
