ID,category,name,price,link,brand,warranty,chipset_brand,series,Tên,Part-number,chipset,vram,Series,GPU clock,pci_interface,Số lượng đơn vị xử lý,Cổng kết nối,Tản nhiệt,Đầu cấp nguồn,tdp,VR,Kích thước,Đèn LED,Multi-GPU,Mô tả bảo hành,vram_gb,tdp_w,gpu_tier
vga_051,VGA,Card màn hình Asus TUF Gaming GeForce RTX™ 5090 32GB GDDR7 OC Edition 32GB GDDR7 (TUF-RTX5090-O32G-GAMING),119990000,https://phongvu.vn/card-man-hinh-vga-asus-tuf-gaming-geforce-rtxtm-5090-32gb-gddr7-oc-edition-tuf-rtx5090-o32g-gaming--s250204649,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,TUF Gaming GeForce RTX™ 5090 32GB GDDR7 OC Edition,TUF-RTX5090-O32G-GAMING,GeForce RTX 5090,32GB  GDDR7 ( 28 Gbps / 512-bit ),TUF,OC mode: 2580 MHz - Default mode: 2550 MHz(Boost clock),PCI-E 5.0,21760  CUDA cores,"2 x HDMI 2.1 , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,1000W,không hỗ trợ,348 x 146 x 72 mm,ARGB,,,32.0,1000.0,high
vga_052,VGA,Card màn hình ASUS PRIME GeForce RTX™ 5070 12GB GDDR7 OC Edition(PRIME-RTX5070-O12G),23490000,https://phongvu.vn/card-man-hinh-vga-asus-prime-geforce-rtxtm-5070-12gb-gddr7--s250204650,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,PRIME GeForce RTX™ 5070 12GB GDDR7 OC Edition,PRIME-RTX5070-O12G,GeForce RTX 5070,12GB  GDDR7 ( 28 Gbps / 192-bit ),Prime,OC mode: 2587MHz Default mode: 2557MHz (Boost Clock),PCI-E 5.0,6144  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,750W,không hỗ trợ,304 x 126 x 50 mm,,,,12.0,750.0,mid-high
vga_053,VGA,Card màn hình ASUS TUF Gaming GeForce RTX™ 5070 12GB GDDR7 OC Edition 12GB GDDR7 (TUF-RTX5070-O12G-GAMING),23490000,https://phongvu.vn/card-man-hinh-vga-asus-tuf-gaming-geforce-rtxtm-5070-12gb-gddr7--s250204652,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,TUF Gaming GeForce RTX™ 5070 12GB GDDR7 OC Edition,TUF-RTX5070-O12G-GAMING,GeForce RTX 5070,12GB  GDDR7 ( 28 Gbps / 192-bit ),TUF,OC mode: 2640MHz Default mode: 2610MHz (Boost Clock),PCI-E 5.0,6144  CUDA cores,"2 x HDMI , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,750W,không hỗ trợ,329 x 140 x 62.5 mm,,,,12.0,750.0,mid-high
vga_054,VGA,Card màn hình ASUS PRIME GeForce RTX 5070 Ti 16GB OC Edition GDDR7 16GB GDDR6 (PRIME-RTX5070TI-O16G),31990000,https://phongvu.vn/card-man-hinh-vga-asus-prime-geforce-rtx-5070-ti-16gb-oc-edition-gddr7--s250204066,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,PRIME GeForce RTX 5070 Ti 16GB OC Edition GDDR7,PRIME-RTX5070TI-O16G,GeForce RTX 5070Ti,16GB  GDDR6 ( 28 Gbps / 256-bit ),Prime,OC mode: 2527MHz Default mode: 2497MHz (Boost Clock),PCI-E 5.0,8960  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,750W,không hỗ trợ,304 x 126 x 50 mm,,,,16.0,750.0,high
vga_055,VGA,Card màn hình Gigabyte GeForce RTX 3050 WINDFORCE OC V2 6G 6GB GDDR6 (GV-N3050WF2OCV2-6GD),5290000,https://phongvu.vn/vga-gigabyte-geforce-rtx-3050-windforce-oc-v2-6g--s250203608?selectPromotionId=2440075,Gigabyte,36 tháng,NVIDIA,GeForce RTX 30 series,GeForce RTX 3050 WINDFORCE OC V2 6G,GV-N3050WF2OCV2-6GD,GeForce RTX 3050,6GB  GDDR6 ( 14000 MHz / 96-bit ),WindForce,1477 MHz (Reference Card: 1470 MHz),PCI-E 4.0,2304  CUDA cores,"2 x HDMI 2.1 , 2 x DisplayPort 1.4a",Tản nhiệt 2 quạt,,300W,,191 x 111 x 36 mm,,,,6.0,300.0,mid
vga_056,VGA,Card màn hình GIGABYTE GeForce RTX 5070 Ti EAGLE OC ICE SFF 16G 16GB GDDR7 (GV-N507TEAGLEOC ICE-16GD),29490000,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-rtx-5070-ti-eagle-oc-ice-sff-16g--s250203611,Gigabyte,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5070 Ti EAGLE OC ICE SFF 16G,GV-N507TEAGLEOC ICE-16GD,GeForce RTX 5070Ti,16GB  GDDR7 ( 28Gbps / 256-bit ),EAGLE,,PCI-E 5.0,8960  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,750W,,304 x 126 x 50 mm,,,,16.0,750.0,high
vga_057,VGA,Card màn hình MSI RTX 5070 Ti 16G VENTUS 3X OC 16GB GDDR7,31490000,https://phongvu.vn/card-man-hinh-vga-msi-geforce-rtx-5070-ti-16g-ventus-3x-oc--s250203398,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5070 Ti 16G VENTUS 3X OC,,GeForce RTX 5070Ti,16GB  GDDR7 ( 28 Gbps / 256-bit ),VENTUS,Extreme Performance: 2497 MHz (MSI Center) - - Boost: 2482 MHz,PCI-E 5.0,8960  CUDA cores,"1 x HDMI , 3 x DisplayPort",Tản nhiệt 3 quạt,1 x 16-pin,750W,không hỗ trợ,303 x 121 x 49 mm,,,,16.0,750.0,high
vga_058,VGA,Card màn hình ASUS TUF Gaming GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,35590000,https://phongvu.vn/vga-asus-tuf-gaming-geforce-rtx-5070-ti-16gb-gddr7-oc-edition--s250203310,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,TUF Gaming GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,TUF-RTX5070TI-O16G-GAMING,GeForce RTX 5070Ti,16GB  GDDR7 ( 28 Gbps / 256-bit ),TUF,OC mode: 2610MHz -  Default mode: 2588MHz (Boost Clock),PCI-E 5.0,8960  CUDA cores,"2 x HDMI 2.1 , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,850W,không hỗ trợ,329 x 140 x 62.5 mm,,,,16.0,850.0,high
vga_059,VGA,Card màn hình GIGABYTE GeForce RTX 5080 AERO OC SFF 16G GDDR7,42990000,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-rtx-5080-aero-oc-sff-16g--s250116316,Gigabyte,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5080 AERO OC SFF 16G,GV-N5080AERO OC-16GD,GeForce RTX 5080,16GB  GDDR7 ( 30 Gbps / 256-bit ),AERO,2730 MHz (Reference: 2617 MHz),PCI-E 5.0,10752  CUDA cores,"1 x HDMI 2.1 , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,850W,không hỗ trợ,304 x 126 x 50 mm,,,,16.0,850.0,high
vga_060,VGA,Card màn hình ASUS TUF Gaming GeForce RTX™ 5080 16GB GDDR7 OC Edition 16GB GDDR7,47990000,https://phongvu.vn/card-man-hinh-vga-asus-tuf-rtx5080-016g-gaming--s250116300,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,TUF Gaming GeForce RTX™ 5080 16GB GDDR7 OC Edition,,GeForce RTX 5080,16GB  GDDR7  256-bit ),TUF,30 Gbps,PCI-E 5.0,10752  CUDA cores,"2 x HDMI 2.1 , 3 x DisplayPort 2.1a",Tản nhiệt 3 quạt,1 x 16-pin,850W,không hỗ trợ,348 x 146 x 72 mm,,,,16.0,850.0,high
