ID,category,name,price,link,brand,warranty,type,Màu sắc của ổ cứng,Dung lượng,Kết nối,Tốc độ đọc,Hỗ trợ hệ điều hành,Kích thước,Tốc độ vòng quay,Tốc độ ghi,Bộ nhớ NAND,cache,warranty_desc
storage_064,Storage,Ổ cứng HDD WD My Book Duo 20TB (WDBFBE0200JBK-SESN),28990000,https://phongvu.vn/o-cung-hdd-wd-my-book-duo-20tb-wdbfbe0200jbksesn--s191100206,WD,36 tháng,di động HDD,Đen,20TB,"USB 3.0, USB 3.1",360MB/s,"Windows 8.1, Windows 10, Windows 7","3.5""",,300MB/s,,,
storage_065,Storage,"Ổ cứng di động HDD Transcend 25H3 1TB 2.5"" USB 3.0",2390000,https://phongvu.vn/c-ng-hdd-transcend-1tb-25h3-box-2-5--s1201749,Transcend,36 tháng,di động HDD,Tím,1TB,,,"Windows 8, Windows 8.1, Windows 10, macOS, Windows 7","2.5""",,,Không,,
storage_066,Storage,"Ổ cứng di động HDD WD Elements Portable 1TB 2.5"" USB 3.0 (WDBUZG0010BBK-WESN) (Đen)",2790000,https://phongvu.vn/o-cung-hdd-wd-1tb-elements-box-2-5-3-0--s1201758,WD,24 tháng,di động HDD,Đen,1TB,USB 3.0,,,"2.5""",,,Không,,
storage_067,Storage,Ổ cứng SSD Kingston A400 240GB Sata 3 (SA400S37/240G),1890000,https://phongvu.vn/o-cung-ssd-kingston-a400-240gb-sata-3-sa400s37240g--s1704462,Kingston,36 tháng,SSD,Đen,240GB,SATA 3,500MB/s,,"2.5""",,350MB/s,Không,,
storage_068,Storage,"Ổ cứng di động HDD Transcend Slim StoreJet M3S 2TB 2.5"" USB 3.0 (TS2TSJ25M3S) (Đen)",3090000,https://phongvu.vn/o-cung-hdd-transcend-2tb-slim-storejet-2-5-m3s--s1806226,Transcend,36 tháng,di động HDD,Đen,2TB,USB 3.0,,,"2.5""",,,Không,,
storage_069,Storage,"ổ cứng HDD PC Seagate Barracuda 2TB 3.5"" SATA (ST2000DM008)",3490000,https://phongvu.vn/o-cung-hdd-seagate-barracuda-2tb-3-5-sata3-st2000dm008--s18120128,Seagate,24 tháng,HDD,Titanium,2TB,SATA 3,,,"3.5""",7200RPM,,Không,256MB,
storage_070,Storage,"Ổ cứng gắn trong/ HDD WD Ultrastar DC HC555 20TB 7200RPM 512MB 3.5"" (WUH722020CLE6L4)",15990000,https://phongvu.vn/o-cung-gan-trong-hdd-wd-ultrastar-dc-hc555-20tb-7200rpm-512mb-3-5-wuh722020cle6l4--s260107822,WD,60 tháng,HDD,Đen,20TB,SATA,,,"3.5""",,,,512MB,
storage_071,Storage,Ổ cứng gắn trong/ HDD Seagate Ironwolf Pro 20TB SATA3 256MB 7200rpm (ST20000NT001),19990000,https://phongvu.vn/o-cung-gan-trong-hdd-seagate-ironwolf-pro-20tb-sata3-256mb-7200rpm-st20000nt001--s260100028,Seagate,36 tháng,HDD,Bạc,20TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_072,Storage,"Ổ cứng gắn ngoài SSD Crucial 4TB X10, USB-C 3.2 Gen 2 2x2 (20Gb/s), 2100/2100MB/s, Xanh (CT4000X10SSD9)",11090000,https://phongvu.vn/o-cung-gan-ngoai-ssd-crucial-4tb-x10-usb-c-3-2-gen-2-2x2-20gb-s-2100-2100mb-s-xanh-ct4000x10ssd9--s251111649,Crucial,36 tháng,SSD,Xanh,4TB,USB 3.2,2100MB/s,"Windows, Mac, Android, iPadOS, Linux",,,,,,
storage_073,Storage,"Ổ cứng HDD WD 10TB Red Plus (3.5 inch, 7200RPM, SATA, 512MB cache) (WD100EFGX)",10990000,https://phongvu.vn/o-cung-gan-trong-hdd-wd-red-plus-10tb-3-5-512mb-cache-7200rpm-wd100efgx--s250638702,WD,36 tháng,HDD,Đỏ,10TB,SATA,,,"3.5""",7200RPM,,,512MB,
storage_074,Storage,Ổ cứng gắn trong/ SSD NVMe 2TB KIOXIA EXCERIA PRO Gen4x4 wDRAM (LSE10Z002TG8),5270000,https://phongvu.vn/o-cung-gan-trong-ssd-nvme-2tb-kioxia-exceria-pro-gen4x4-wdram--s250516536,Kioxia,60 tháng,SSD,Đen hồng,2TB,M.2 NVMe,7300MB/s,,M.2 2280,,6400MB/s,Không,,
storage_075,Storage,Ổ CỨNG DI ĐỘNG (EXTERNAL SSD) LEXAR SL300 PORTABLE SSD 1T/1050Mb/s READ/1000Mb/s WRITE/ĐEN (BLACK) (LSL300001T-RNBNG),2090000,https://phongvu.vn/o-cung-di-dong-external-ssd-lexar-sl300-portable-ssd-1t-1050mb-s-read-1000mb-s-write-den-black-lsl300001t-rnbng--s250512075,Lexar,36 tháng,SSD,Đen,1TB,USB 3.2,1050MB/s,"Windows 7 trở lên, iOS, Android",,,1000MB/s,,,
